Dental Hygienists,get_occupation
Respiratory Therapy Technicians,get_occupation
Dental Assistants,get_occupation
"Dentists, General",get_occupation
Orderlies (Patient Care Assistants),get_occupation
Family and General Practitioners,get_occupation
Registered Nurses,get_occupation
Respiratory Therapists,get_occupation
Radiologic Technicians,get_occupation
Licensed Practical and Licensed Vocational Nurses,get_occupation
Surgical Technologists,get_occupation
Diagnostic Medical Sonographers,get_occupation
Physical Therapist Aides,get_occupation
Physician Assistants,get_occupation
"Internists, General (Internal Medicine)",get_occupation
Cardiovascular Technologists and Technicians,get_occupation
Physical Therapist Assistants,get_occupation
Physical Therapists,get_occupation
Occupational Therapists,get_occupation
Flight Attendants,get_occupation
Occupational Therapy Assistants,get_occupation
Veterinary Assistants and Laboratory Animal Caretakers,get_occupation
Nursing Assistants,get_occupation
Medical Assistants,get_occupation
Nurse Anesthetists,get_occupation
Emergency Medical Technicians and Paramedics,get_occupation
Veterinarians,get_occupation
Psychiatric Technicians,get_occupation
Psychiatric Aides,get_occupation
Skincare Specialists,get_occupation
"Bus Drivers, School or Special Client",get_occupation
Home Health Aides,get_occupation
"Kindergarten Teachers, Except Special Education",get_occupation
Personal Care Aides,get_occupation
Medical Equipment Preparers,get_occupation
Municipal Firefighters,get_occupation
First-Line Supervisors of Food Preparation and Serving Workers,get_occupation
Pharmacy Technicians,get_occupation
"Hairdressers, Hairstylists, and Cosmetologists",get_occupation
First-Line Supervisors of Correctional Officers,get_occupation
Nurse Practitioners,get_occupation
Correctional Officers and Jailers,get_occupation
Social and Human Service Assistants,get_occupation
Healthcare Social Workers,get_occupation
Childcare Workers,get_occupation
Pharmacists,get_occupation
Amusement and Recreation Attendants,get_occupation
Teacher Assistants,get_occupation
"Preschool Teachers, Except Special Education",get_occupation
"Elementary School Teachers, Except Special Education",get_occupation
Massage Therapists,get_occupation
Medical Secretaries,get_occupation
Police Patrol Officers,get_occupation
First-Line Supervisors of Police and Detectives,get_occupation
"Ushers, Lobby Attendants, and Ticket Takers",get_occupation
Tellers,get_occupation
First-Line Supervisors of Personal Service Workers,get_occupation
Manicurists and Pedicurists,get_occupation
"Bus Drivers, Transit and Intercity",get_occupation
"Food Servers, Nonrestaurant",get_occupation
"Middle School Teachers, Except Special and Career/Technical Education",get_occupation
Dining Room and Cafeteria Attendants and Bartender Helpers,get_occupation
Waiters and Waitresses,get_occupation
Food Preparation Workers,get_occupation
Receptionists and Information Clerks,get_occupation
Cashiers,get_occupation
Couriers and Messengers,get_occupation
"Office Clerks, General",get_occupation
Maids and Housekeeping Cleaners,get_occupation
Food Service Managers,get_occupation
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",get_occupation
Retail Salespersons,get_occupation
"Secondary School Teachers, Except Special and Career/Technical Education",get_occupation
Real Estate Sales Agents,get_occupation
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",get_occupation
Construction Laborers,get_occupation
Taxi Drivers and Chauffeurs,get_occupation
Light Truck or Delivery Services Drivers,get_occupation
Laundry and Dry-Cleaning Workers,get_occupation
Chief Executives,get_occupation
Refuse and Recyclable Material Collectors,get_occupation
"Sales Agents, Securities and Commodities",get_occupation
"Financial Managers, Branch or Department",get_occupation
Marketing Managers,get_occupation
Computer Programmers,get_occupation
Lawyers,get_occupation
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",get_occupation
"Bookkeeping, Accounting, and Auditing Clerks",get_occupation
Personal Financial Advisors,get_occupation
"Education Teachers, Postsecondary",get_occupation
Financial Analysts,get_occupation
Postal Service Mail Carriers,get_occupation
Market Research Analysts and Marketing Specialists,get_occupation
Management Analysts,get_occupation
Graphic Designers,get_occupation
Web Developers,get_occupation
Computer Hardware Engineers,get_occupation
Actuaries,get_occupation
Computer Network Architects,get_occupation
Economists,get_occupation
